trial_id,seed,opt_A_file,opt_B_file,question
t01,s01,audio/t01_optA.wav,audio/t01_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t02,s02,audio/t02_optA.wav,audio/t02_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t03,s03,audio/t03_optA.wav,audio/t03_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t04,s04,audio/t04_optA.wav,audio/t04_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t05,s05,audio/t05_optA.wav,audio/t05_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t06,s06,audio/t06_optA.wav,audio/t06_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t07,s07,audio/t07_optA.wav,audio/t07_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t08,s08,audio/t08_optA.wav,audio/t08_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t09,s09,audio/t09_optA.wav,audio/t09_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t10,s10,audio/t10_optA.wav,audio/t10_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t11,s11,audio/t11_optA.wav,audio/t11_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t12,s12,audio/t12_optA.wav,audio/t12_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t13,s13,audio/t13_optA.wav,audio/t13_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t14,s14,audio/t14_optA.wav,audio/t14_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t15,s15,audio/t15_optA.wav,audio/t15_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t16,s16,audio/t16_optA.wav,audio/t16_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t17,s17,audio/t17_optA.wav,audio/t17_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t18,s18,audio/t18_optA.wav,audio/t18_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t19,s19,audio/t19_optA.wav,audio/t19_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
t20,s20,audio/t20_optA.wav,audio/t20_optB.wav,"Each version (A and B) is a full track in which a middle section was regenerated; A and B share the same surrounding music. Which version sounds more coherent -- where the regenerated section blends most seamlessly with the rest in key, style, tempo, and instrumentation?"
